"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
1,"2019-04-17 08:40:08 GMT+0000","90076114528","DIGITEVEN","1927.12","1927.12",0.35,0.66,"0.31"
2,"2019-04-17 08:40:12 GMT+0000","90076120788","DIGITEVEN","1925.83","1925.83",0.35,"0.00","-0.35"
3,"2019-04-17 08:40:16 GMT+0000","90076126008","DIGITEVEN","1925.52","1925.52","0.70",1.36,"0.66"
4,"2019-04-17 08:40:20 GMT+0000","90076131228","DIGITEVEN","1924.32","1924.32",0.35,0.66,"0.31"
5,"2019-04-17 08:40:24 GMT+0000","90076136108","DIGITEVEN","1923.24","1923.24",0.35,0.66,"0.31"
6,"2019-04-17 08:40:28 GMT+0000","90076141128","DIGITEVEN","1922.96","1922.96",0.35,0.66,"0.31"
7,"2019-04-17 08:40:33 GMT+0000","90076147288","DIGITEVEN","1922.53","1922.53",0.35,"0.00","-0.35"
8,"2019-04-17 08:40:36 GMT+0000","90076151048","DIGITEVEN","1923.23","1923.23","0.70","0.00","-0.70"
9,"2019-04-17 08:40:40 GMT+0000","90076155728","DIGITEVEN","1923.53","1923.53","1.40","0.00","-1.40"
10,"2019-04-17 08:40:44 GMT+0000","90076160528","DIGITEVEN","1923.36","1923.36","2.80",5.49,"2.69"
11,"2019-04-17 08:40:48 GMT+0000","90076165548","DIGITEVEN","1922.46","1922.46",0.35,0.66,"0.31"
12,"2019-04-17 08:40:52 GMT+0000","90076170068","DIGITEVEN","1922.89","1922.89",0.35,"0.00","-0.35"
13,"2019-04-17 08:40:56 GMT+0000","90076174868","DIGITEVEN","1922.67","1922.67","0.70","0.00","-0.70"
14,"2019-04-17 08:41:01 GMT+0000","90076181368","DIGITEVEN","1921.32","1921.32","1.40",2.75,"1.35"
15,"2019-04-17 08:41:04 GMT+0000","90076186048","DIGITEVEN","1920.43","1920.43",0.35,"0.00","-0.35"
16,"2019-04-17 08:41:09 GMT+0000","90076192068","DIGITEVEN","1920.00","1920.00","0.70",1.36,"0.66"
17,"2019-04-17 08:41:12 GMT+0000","90076196568","DIGITEVEN","1919.66","1919.66",0.35,0.66,"0.31"
18,"2019-04-17 08:41:16 GMT+0000","90076201228","DIGITEVEN","1918.57","1918.57",0.35,"0.00","-0.35"
19,"2019-04-17 08:41:20 GMT+0000","90076207368","DIGITEVEN","1918.26","1918.26","0.70",1.36,"0.66"
20,"2019-04-17 08:41:24 GMT+0000","90076211908","DIGITEVEN","1918.16","1918.16",0.35,0.66,"0.31"
21,"2019-04-17 08:41:28 GMT+0000","90076216408","DIGITEVEN","1918.32","1918.32",0.35,0.66,"0.31"
22,"2019-04-17 08:41:32 GMT+0000","90076222188","DIGITEVEN","1918.68","1918.68",0.35,0.66,"0.31"
23,"2019-04-17 08:41:36 GMT+0000","90076227388","DIGITEVEN","1919.08","1919.08",0.35,0.66,"0.31"
24,"2019-04-17 08:41:40 GMT+0000","90076232808","DIGITEVEN","1918.14","1918.14",0.35,0.66,"0.31"
25,"2019-04-17 08:41:44 GMT+0000","90076236628","DIGITEVEN","1917.85","1917.85",0.35,"0.00","-0.35"
26,"2019-04-17 08:41:48 GMT+0000","90076242988","DIGITEVEN","1917.82","1917.82","0.70",1.36,"0.66"
27,"2019-04-17 08:41:52 GMT+0000","90076247268","DIGITEVEN","1918.48","1918.48",0.35,0.66,"0.31"
28,"2019-04-17 08:41:56 GMT+0000","90076251588","DIGITEVEN","1917.51","1917.51",0.35,"0.00","-0.35"
29,"2019-04-17 08:42:00 GMT+0000","90076258188","DIGITEVEN","1917.87","1917.87","0.70","0.00","-0.70"
30,"2019-04-17 08:42:04 GMT+0000","90076264328","DIGITEVEN","1918.21","1918.21","1.40","0.00","-1.40"
31,"2019-04-17 08:42:08 GMT+0000","90076268708","DIGITEVEN","1918.77","1918.77","2.80","0.00","-2.80"
32,"2019-04-17 08:42:19 GMT+0000","90076282428","DIGITEVEN","1917.65","1917.65","5.60","0.00","-5.60"
33,"2019-04-17 08:42:22 GMT+0000","90076285808","DIGITEVEN","1917.59","1917.59","11.20","0.00","-11.20"
34,"2019-04-17 08:42:26 GMT+0000","90076290208","DIGITEVEN","1918.25","1918.25","22.40","0.00","-22.40"
35,"2019-04-17 08:42:31 GMT+0000","90076296808","DIGITEVEN","1917.97","1917.97","44.80","0.00","-44.80"
36,"2019-04-17 08:42:34 GMT+0000","90076300628","DIGITEVEN","1919.01","1919.01","89.60","0.00","-89.60"
